displayName,synonyms,compartment,stID
"""3',5'-ADP [peroxisomal matrix]""","[""3',5'-ADP"", ""adenosine 3&apos;,5&apos;-bisphosphate"", ""adenosine 3',5'-bisphosphate""]","[""peroxisomal matrix""]","""R-ALL-6809360"""
"""ADP [cilium]""","[""ADP"", ""Adenosine 5'-diphosphate"", ""ADP(3-)""]","[""cilium""]","""R-ALL-5632457"""
"""ADP [cytosol]""","[""ADP"", ""Adenosine 5'-diphosphate"", ""ADP(3-)""]","[""cytosol""]","""R-ALL-29370"""
"""ADP [endoplasmic reticulum lumen]""","[""ADP"", ""Adenosine 5'-diphosphate"", ""ADP(3-)""]","[""endoplasmic reticulum lumen""]","""R-ALL-8931884"""
"""ADP [endoplasmic reticulum membrane]""","[""ADP"", ""ADP(3-)""]","[""endoplasmic reticulum membrane""]","""R-ALL-211606"""
"""ADP [extracellular region]""","[""ADP"", ""Adenosine 5'-diphosphate"", ""ADP(3-)""]","[""extracellular region""]","""R-ALL-114564"""
"""ADP [mitochondrial intermembrane space]""","[""ADP"", ""Adenosine 5'-diphosphate"", ""ADP(3-)""]","[""mitochondrial intermembrane space""]","""R-ALL-5696026"""
"""ADP [mitochondrial matrix]""","[""ADP"", ""Adenosine 5'-diphosphate"", ""ADP(3-)""]","[""mitochondrial matrix""]","""R-ALL-113581"""
"""ADP [nucleoplasm]""","[""ADP"", ""Adenosine 5'-diphosphate"", ""ADP(3-)""]","[""nucleoplasm""]","""R-ALL-113582"""
"""ADP [plasma membrane]""","[""ADP"", ""ADP(3-)""]","[""plasma membrane""]","""R-ALL-196180"""
"""ADP [platelet dense granule lumen]""","[""ADP"", ""Adenosine 5'-diphosphate"", ""ADP(3-)""]","[""platelet dense granule lumen""]","""R-ALL-114565"""
"""AMP [cytosol]""","[""AMP"", ""adenosine 5'-monophosphate"", ""Adenylic acid"", ""Adenylate"", ""5'-AMP"", ""5'-Adenylic acid"", ""5'-Adenosine monophosphate"", ""Adenosine 5'-phosphate""]","[""cytosol""]","""R-ALL-76577"""
"""AMP [nucleoplasm]""","[""AMP"", ""adenosine 5'-monophosphate""]","[""nucleoplasm""]","""R-ALL-164121"""
"""AMP [peroxisomal matrix]""","[""AMP"", ""adenosine 5'-monophosphate""]","[""peroxisomal matrix""]","""R-ALL-389620"""
"""ATP [cilium]""","[""ATP"", ""Adenosine 5'-triphosphate"", ""ATP(4-)""]","[""cilium""]","""R-ALL-5632460"""
"""ATP [cytosol]""","[""ATP"", ""Adenosine 5'-triphosphate"", ""ATP(4-)""]","[""cytosol""]","""R-ALL-113592"""
"""ATP [endoplasmic reticulum lumen]""","[""ATP"", ""Adenosine 5'-triphosphate"", ""ATP(4-)""]","[""endoplasmic reticulum lumen""]","""R-ALL-8931885"""
"""ATP [endoplasmic reticulum membrane]""","[""ATP"", ""ATP(4-)""]","[""endoplasmic reticulum membrane""]","""R-ALL-211579"""
"""ATP [extracellular region]""","[""ATP"", ""Adenosine 5'-triphosphate"", ""ATP(4-)""]","[""extracellular region""]","""R-ALL-114570"""
"""ATP [mitochondrial intermembrane space]""","[""ATP"", ""Adenosine 5'-triphosphate"", ""ATP(4-)""]","[""mitochondrial intermembrane space""]","""R-ALL-5696069"""
"""ATP [mitochondrial matrix]""","[""ATP"", ""Adenosine 5'-triphosphate"", ""ATP(4-)""]","[""mitochondrial matrix""]","""R-ALL-113593"""
"""ATP [nucleoplasm]""","[""ATP"", ""Adenosine 5'-triphosphate"", ""ATP(4-)""]","[""nucleoplasm""]","""R-ALL-29358"""
