name,biocyc_id
ndk,EG10650
purU,EG11819
rcsF,EG11502
cysG,EG10188
cysC,EG10185
cysI,EG10190
qseC,EG12658
sdiA,EG10935
ybaM,EG12830
mqsR,G7572
dgcQ,G7049
ccmA,EG12059
elfD,G6481
rcsB,EG10821
tpr,EG11016
rstB,EG11233
fepG,EG10298
rfe,EG10840
opgC,G6552
fepC,EG10295
putA,EG10801
aspC,EG10096
purR,EG10800
proW,EG10772
rpsT,EG10919
fes,EG10299
dps,EG11415
yfeW,G7265
cpxR,EG10020
clpX,EG10159
perR,G6129
bepA,G7311
treR,EG12202
sdhD,EG10934
uidC,G6866
sdhC,EG10933
yeeN,G7068
zraR,EG10482
arcA,EG10061
ydeJ,EG11645
cusB,G6322
xapR,EG11146
nuoK,EG12091
nuoF,EG11774
nuoB,EG12083
nuoG,EG12087
nuoJ,EG12090
nuoM,EG11773
nuoN,EG12093
nuoA,EG12082
nuoE,EG12086
nuoC,EG12084
rapZ,EG12146
yfcL,G7200
ybeZ,G6363
yheV,G0-10466
ybaP,G6258
yeiR,EG12104
fliI,G377
cysB,EG10184
cysE,EG10187
nudC,EG11702
yoeA,G7075
truB,EG11177
pcnB,EG10690
