gene_name,biocyc_id,fold_change,fold_change_abs,log2(fold_change_abs),comment
ykgO,G0-10434,803.0566861,803.0566861,9.649358018,
ykgM,G6167,212.2091282,212.2091282,7.729342905,
zinT,G7061,200.0484215,200.0484215,7.644205435,
ykgR,G0-10654,34.31078565,34.31078565,5.100590256,
znuA,G7017,14.64020251,14.64020251,3.871863605,
yjiS,G7937,9.545281733,9.545281733,3.25478778,
yiaB,EG11267,7.521910036,7.521910036,2.911099051,
iraM,G6600,7.216998115,7.216998115,2.851398878,
cspH,G6510,6.389851797,6.389851797,2.675782471,
znuC,G7018,5.982468038,5.982468038,2.580740784,
yodB,G7062,5.248722666,5.248722666,2.39196637,
ypjJ,G0-10464,5.050958767,5.050958767,2.336557264,
mepM,EG10013,4.989228974,4.989228974,2.318816881,
ygfS,G7505,4.922357656,4.922357656,2.299349487,
yfjZ,G7380,4.787206209,4.787206209,2.259183951,
ydaQ,G6677,4.773212065,4.773212065,2.254960434,synonym: xisR; biocyc_id manually curated
yghG,G7538,4.49284162,4.49284162,2.167628206,
ybfB,EG11522,4.465688973,4.465688973,2.158882774,
yjfI,G7846,4.459649574,4.459649574,2.156930352,
pliG,G6615,4.276968006,4.276968006,2.096588415,
yegR,G7122,4.267820171,4.267820171,2.093499388,
yqeJ,G7468,3.98498023,3.98498023,1.994572567,
ymjC,G0-10446,3.907424802,3.907424802,1.966218109,
ydaC,EG11901,3.906524204,3.906524204,1.965885553,synonym: rcbA; biocyc_id manually curated
atoD,EG11669,3.855974937,3.855974937,1.947095675,
atoE,EG11671,3.826015264,3.826015264,1.935842629,
waaS,EG11350,3.576700378,3.576700378,1.838629268,
ykfF,G6124,3.561258874,3.561258874,1.832387311,
znuB,EG12368,3.486170846,3.486170846,1.801643273,
elaD,G7176,3.457186332,3.457186332,1.789598363,
pyrL,EG11279,3.39109882,3.39109882,1.761752827,
alaE,G7399,3.340285369,3.340285369,1.739971361,
yihL,EG11838,3.320291657,3.320291657,1.731309975,
agaI,G7636,3.289893354,3.289893354,1.718040818,
ydaY,G6689,3.281652391,3.281652391,1.71442243,
ycfZ,G6578,3.158265701,3.158265701,1.659132548,
croE,G6590,3.137583834,3.137583834,1.649654007,synonym: ymfT; biocyc_id manually curated
fecC,EG10288,3.118864614,3.118864614,1.641020928,
tfaP,G6598,3.103053508,3.103053508,1.633688574,
yijF,EG11903,3.050483273,3.050483273,1.60903782,
fiu,G6414,3.038764996,3.038764996,1.603485108,
gcvP,EG11810,3.015661329,3.015661329,1.592474417,
mntP,G6999,2.999087837,2.999087837,1.584523777,
mqo,EG12069,2.966370627,2.966370627,1.568698863,
ybiI,EG12421,2.947059943,2.947059943,1.559276405,
artP,EG11624,2.845393827,2.845393827,1.508628348,
ybiX,G6413,2.783771286,2.783771286,1.477040684,
ygcN,G7432,2.734661491,2.734661491,1.45136226,
mcrC,EG10575,2.729550308,2.729550308,1.448663288,
cirA,EG10155,2.618729879,2.618729879,1.388867254,
ybcW,G6314,2.603926568,2.603926568,1.380688764,
yafO,G6117,2.603793928,2.603793928,1.380615274,
entC,EG10261,2.600760124,2.600760124,1.378933341,
fes,EG10299,2.57175415,2.57175415,1.362752733,
nrdI,G7402,2.548321642,2.548321642,1.349547382,
glpT,EG10401,2.544915471,2.544915471,1.347617738,
dtpD,G6378,2.523181187,2.523181187,1.335243809,
ydcO,G6744,2.52265151,2.52265151,1.33494092,
yjhH,G7911,2.521432515,2.521432515,1.334243613,
yeiL,EG12031,2.511460952,2.511460952,1.328526844,
sdaB,EG11623,2.508966425,2.508966425,1.327093164,
glxR,G6278,2.483222211,2.483222211,1.312213367,
sdhD,EG10934,2.468249673,2.468249673,1.303488336,
yqiH,G7586,2.395182685,2.395182685,1.260135697,
entD,EG10262,2.385600566,2.385600566,1.254352505,
aaeX,G7687,2.362582463,2.362582463,1.240364686,
