,name,biocyc_id
0,ybgU,G0-16730
1,ydcI,G6737
2,yejG,EG12042
3,glcC,G7546
4,yigI,EG11467
5,mqo,EG12069
6,lldP,EG11961
7,mhpR,G6201
8,pdhR,EG11088
9,phoH,EG11734
10,sthA,EG11428
11,sdhC,EG10933
12,kgtP,EG10522
13,cyoA,EG10178
14,hcaR,G7331
15,mglB,EG10593
16,msrB,EG12394
17,ylaC,G6253
18,yeaC,G6964
19,yohO,G0-10459
20,fumA,EG10356
21,betI,EG10111
22,ndk,EG10650
23,kefG,G7717
24,argT,EG10072
25,puuD,G6645
26,ydgC,G6863
27,yqeF,G7464
28,yjiR,G7936
29,gcd,EG10369
30,fdoG,EG11858
31,betT,EG10112
32,mglA,EG10592
33,ynaJ,G6668
34,dctA,EG20044
35,bluF,G6603
36,feaR,G6706
37,ugpB,EG11047
38,trxC,EG11887
39,betB,EG10110
40,dadA,EG11407
41,lldR,EG11962
42,acnB,EG12316
43,aldA,EG10035
44,puuA,G6644
45,fumC,EG10358
46,nudE,G7740
47,mntS,G0-10715
48,ompW,EG11124
49,rsd,EG11738
50,yehD,EG11990
51,yjiJ,G7929
52,dadX,EG11408
53,ytfF,G7867
54,fadI,G7213
55,acnA,EG11325
56,icd,EG10489
57,prpR,G6195
58,bssR,G6436
59,lldD,EG11963
60,rarD,EG11466
61,kefB,EG20110
62,gltA,EG10402
63,fadB,EG10279
64,ymgA,G6605
65,modF,EG11677
66,yeiQ,EG12036
67,nuoA,EG12082
68,putA,EG10801
69,glpE,EG10395
70,yhjE,EG12249
71,focA,EG11258
72,feoB,EG12102
73,feoA,EG12101
74,cydB,EG10174
75,cydA,EG10173
76,yqeI,G7467
77,ybcV,G6313
78,appY,EG10050
79,ybjM,G6446
80,ybcW,G6314
